idea,title_a,title_b,title_b_preferred
Fine-tuning text embedding models,Fine-Tuning Text Embeddings: The Ultimate Guide,Fine-Tuning Text Embeddings Like a Pro,0
fine-tuning LLMs,How I Fine-Tuned an LLM for Real-World Applications,The Ultimate Guide to LLM Fine-Tuning in 2024,0
Gaussian mixture model,Gaussian Mixture Models Simplified,How Gaussian Mixture Models Work Explained,1
Interviewing 10 upwork millionaires,10 Upwork Millionaires Reveal Their Secrets!,Unveiling the Success of 10 Upwork Millionaires,1
"Fractals, self similarity, and crinkliness",5 Surprising Facts About Fractals and Self-Similarity,The Math Behind Fractals: Crinkliness and Beyond,1
Fine-tuning LLMs for tool use,Boost Your LLMs with These Fine-Tuning Techniques,The Ultimate Guide to LLM Fine-Tuning for Tools,1
multimodal RAG,Unlock Multimodal RAG: The Future of AI!,Why Multimodal RAG Is the Next Big Thing in AI,1
FFT,Master FFT in Just 10 Minutes!,How FFT Revolutionizes Data Processing,0
Generative adversarial networks (GANs),How GANs Work: The Ultimate Guide,Build Your Own GANs in 15 Minutes,0
Building an AI app in 4 days,Build an AI App in 4 Days: My Rapid Development Journey,AI App in 4 Days: My Fast Track to Success,0
model pruning,How Model Pruning Can Cut Your Training Time in Half,How to Prune Models Like a Pro in 2024,0
direct policy optimization (DPO),5 Key Steps in Direct Policy Optimization (DPO),How DPO Revolutionizes Reinforcement Learning,0
Transformers (ML),Transformers vs RNNs: What's the Difference?,The 3 Secrets to Mastering Transformers for ML,0
decision tree ensembles,The Power of Decision Tree Ensembles Explained,From Beginner to Expert: Decision Tree Ensembles Guide,1
multimodal RAG,Unlock Multimodal RAG: The Future of AI!,Build Your Own Multimodal RAG System: Step-by-Step,1
multimodal RAG,Build Your Own Multimodal RAG System: Step-by-Step,Why Multimodal RAG Is the Next Big Thing in AI,0
Neural network dropout,Dropout Technique: Boosting Neural Network Performance,Neural Network Dropout: A Beginner's Guide,1
Fine-tuning LLMs on human feedback,How Human Feedback Transforms LLMs,Inside LLM Fine-Tuning: My Pro Tips,0
Generative adversarial networks (GANs),Build Your Own GANs in 15 Minutes,The Power of GANs: Real-World Applications Explained,0
Habituation in causal inference,The Role of Habituation in Accurate Causal Inference,Mastering Habituation for Better Causal Inference,0
Fine-tuning LLMs with QLoRA,How I Used QLoRA to Boost LLM Performance,QLoRA for LLMs: What You Need to Know,1
Fine-tuning FLUX.1 on images of me,FLUX.1 Fine-Tuning Tips: From Zero to Hero,Boost Your Images with FLUX.1 Fine-Tuning Secrets,0
Fine-tuning LLMs for computer use,How I Fine-Tuned an LLM for Computer Use,Boost Your LLM Skills: Fine-Tuning for Computer Use,0
principal component analysis,Principal Component Analysis Simplified,Master PCA in Just 10 Minutes,1
Gaussian mixture model,Mastering Gaussian Mixture Models in 15 Minutes,How Gaussian Mixture Models Work Explained,0
Fine-tuning text embedding models,The Secret to Better Text Embeddings Revealed,Fine-Tuning Text Embeddings Like a Pro,1
Hierarchical clustering,How Hierarchical Clustering Can Transform Your Data,Build Your Own Hierarchical Clustering Model in 15 Minutes,0
Continual learning (ML),Continuous Learning in ML: What You Need to Know,Top 5 Resources for Ongoing ML Education,1
"Naive Bayes, Naive Bayes filter",Understanding Naive Bayes: The Simplest Yet Most Effective Classifier,How Naive Bayes Works: A Step-by-Step Breakdown,1
AI engineer vs ML engineer,AI vs ML Engineer: Roles & Responsibilities,The AI Engineer vs ML Engineer Debate: Who Should You Be?,0
5 biases every data scientist should know (and how to avoid them),Know These 5 Biases to Be a Better Data Scientist,5 Sneaky Biases Every Data Scientist Must Watch Out For,0
Fine-tuning LLMs for tool use,How I Fine-Tuned LLMs for Ultimate Tool Integration,The Ultimate Guide to LLM Fine-Tuning for Tools,1
Optimization,How to Optimize Your Workflow in 10 Minutes,The Ultimate Guide to Optimization for Beginners,1
RAG,How RAG is Revolutionizing Information Retrieval,Why RAG is the Future of Knowledge Bases,0
Fine-tuning LLMs for computer use,The Ultimate Guide to LLM Fine-Tuning,Fine-Tuning LLMs: A Comprehensive Guide,1
Statistics for data scientists,The 5 Stats Every Data Scientist Needs to Know,Boost Your Data Science Skills with These Stats,0
Gini value vs gini coefficient vs Gini impurity,"3 Key Concepts: Gini Value, Coefficient, & Impurity Explained","Understanding Gini Value, Coefficient, & Impurity in 5 Minutes",1
What is entropy?,Understanding Entropy Like a Pro,Entropy Decoded: A Beginner's Guide,1
topological data analysis,Simplifying Complex Data with Topological Analysis,Revolutionizing Data Analysis with Topology,0
causal discovery,The Ultimate Guide to Causal Discovery,How Causal Discovery Can Revolutionize Your Work,0
What is an AI project manager?,How AI Project Managers Drive Success,Meet the AI Project Manager: Job Description,0
Evaluating binary classification models,How to Evaluate Binary Classification Models Effectively,5 Key Metrics for Binary Classification Models,1
Regularization (ML),5 Key Regularization Techniques for ML Models,Regularization 101: Simplified for ML Beginners,0
"Deploying ML solutions with FastAPI, Docker, and AWS","Get ML Deployed with FastAPI, Docker, and AWS in 30 Min","FastAPI, Docker, AWS: Deploy ML Models Like a Pro",1
AI for business,AI for Business: Real-World Examples Explained,Transform Your Business with AI: Step-by-Step Guide,0
5 AI project ideas,5 AI Projects That Will Blow Your Mind!,From Idea to Reality: 5 AI Projects,0
model pruning,How Model Pruning Can Cut Your Training Time in Half,Reduce Model Size & Boost Performance with Pruning,0
Python tutorial for AI beginners,Python for AI: Start Coding Today!,AI with Python: The Easy Way to Begin,0
Fine-tuning BERT for text classification,How I Fine-Tuned BERT for Text Classification in 2 Hours,Boost Your Text Classification Game with BERT Fine-Tuning,0
Fine-tuning LLMs for tool use,How I Fine-Tuned LLMs for Ultimate Tool Integration,Boost Your LLMs with These Fine-Tuning Techniques,0
How to think like a data scientist,5 Thinking Habits of Successful Data Scientists,How to Develop a Data Scientist Mindset,1
Surrogate models,"Surrogate Models Simplified: Fast Predictions, Easy Implementation",Build Surrogate Models in 10 Minutes: A Quick Guide,1
decision tree ensembles,Master Decision Tree Ensembles in Just 10 Minutes,From Beginner to Expert: Decision Tree Ensembles Guide,0
Expectation values,How Expectation Values Shape Our Decisions,Unveiling the Secrets of Expectation Values Today,0
model distillation,Simplify Your Model with Distillation Techniques,From Complex to Compact: Model Distillation Made Easy,0
Fuzzy decision trees,Fuzzy Logic: The Future of Decision Trees,Build Better Decisions with Fuzzy Logic Trees,1
How to handle imbalanced data in ML,Imbalanced Data? Here’s How to Balance the Scales,Avoid These 3 Mistakes When Handling Imbalanced Data,1
AI agents,Meet Your New AI Agents: Transforming Daily Tasks,AI Agents vs Humans: Who Wins in Productivity?,0
Spectral clustering,How Spectral Clustering Can Transform Your Data Analysis,Master Spectral Clustering with These 3 Easy Techniques,1
Building a resume optimizer with AI,Build a Resume Optimizer with AI: Code Walkthrough,AI-Powered Resume Optimizer: From Idea to Code,1
reinforcement learning with human feedback (RLHF),5 Key Steps in RLHF for Better AI Models,How RLHF Transforms AI: A Beginner's Guide,1
Spectral clustering,How Spectral Clustering Can Transform Your Data Analysis,Spectral Clustering Simplified: A Step-by-Step Guide,1
Building an AI app in 4 days,Build an AI App in 4 Days: My Rapid Development Journey,How I Built an AI App in Just 4 Days,1
Data science project management,Streamline Your Data Science Projects with These Tips,From Chaos to Control: Master Data Science Project Management,0
SHAP values,SHAP Values Explained: A Beginner's Guide,Unlock SHAP Values for Better Model Interpretation,0
"My $15,000 content creation strategy",7 Secrets to Boosting Your Content Game (Free!),From Zero to $15K: My Content Strategy Revealed,1
Practical use case with decision trees,How Decision Trees Can Revolutionize Your Predictions,Real-World Decision Trees: A Practical Guide,1
Intro independent component analysis,5 Key Concepts in Independent Component Analysis,Breakdown: Independent Component Analysis for Beginners,1
KMeans,5 Key Steps to Mastering KMeans Clustering,Unsupervised Learning Made Easy with KMeans,1
persistent homology,Unleash the Power of Persistent Homology in Data Science,Master Persistent Homology: A Step-by-Step Guide,1
Fine-tuning text embedding models,Mastering Text Embeddings: A Step-by-Step Guide,The Secret to Better Text Embeddings Revealed,0
"AI risk, safety, and alignment",5 Critical AI Risks You Must Know,"The Future of AI: Risks, Safety, and Alignment",1
Time series forecasting techniques,Predict the Future with These Time Series Methods,Time Series Forecasting Made Easy: 4 Key Techniques,1
Silhouette plots,5 Key Insights from Silhouette Plots Revealed,How Silhouette Plots Can Boost Your Data Analysis,1
7 ways to make money as a data entrepreneur.,Turn Data Skills into Cash: 7 Pro Tips,7 Ways to Monetize Your Data Expertise,1
Gini value vs gini coefficient vs Gini impurity,Gini Value vs Coefficient vs Impurity: A Quick Guide,"Understanding Gini Value, Coefficient, & Impurity in 5 Minutes",0
Building an AI app in 4 days,4-Day AI App Challenge: From Idea to Launch,How I Built an AI App in Just 4 Days,1
Fine-tuning LLMs on human feedback,5 Steps to Fine-Tune LLMs Like a Pro,Inside LLM Fine-Tuning: My Pro Tips,0
How to measure fat tailed distributions,How to Accurately Measure Fat Tailed Distributions,Mastering Fat Tailed Distributions: A Step-by-Step Guide,0
model distillation,Simplify Your Model with Distillation Techniques,Boost Model Performance with Just 10 Lines of Code,0
text embedding models,Text Embedding Models Explained in 5 Minutes,Top 3 Text Embedding Models Every Data Scientist Should Know,0
GitHub for data science,GitHub for Data Science: Supercharge Your Projects!,How to Use GitHub Like a Pro in Data Science,1
Surrogate models,How Surrogate Models Can Boost Your Machine Learning Workflow,The Surrogate Model Trick That Doubles Your Prediction Speed,1
5 biases every data scientist should know (and how to avoid them),Know These 5 Biases to Be a Better Data Scientist,How to Identify and Overcome 5 Key Biases in Data Science,0
Optimization,Maximize Efficiency: Optimization Strategies Explained,Optimization Techniques That Will Change Your Life,1
LLM Fine-tuning FAQ,What is LLM Fine-tuning? 5 Common Questions Answered,LLM Fine-tuning Demystified: 6 FAQs You Need to Know,0
How to measure fat tailed distributions,Understanding Fat Tailed Distributions Like a Pro,Mastering Fat Tailed Distributions: A Step-by-Step Guide,1
Transformers (ML),How Transformers Revolutionize NLP in 5 Minutes,Build Your Own Transformer Model (Step-by-Step),1
Fine-tuning text embedding models,How to Boost Text Embeddings in Just 30 Minutes,The Secret to Better Text Embeddings Revealed,0
"Naive Bayes, Naive Bayes filter",Naive Bayes Filter Explained: A Beginner's Guide,Naive Bayes vs Spam Emails: Why It’s Still Relevant,0
LLMs,7 Surprising LLM Applications You Need to Know,The Future is Now: What LLMs Can Do Today,0
Full-stack data science skillset,Full-Stack Data Science: From A to Z,Full-Stack Data Science: Your Ultimate Guide,1
direct policy optimization (DPO),Unlocking Better Outcomes Through DPO,DPO Simplified: The Ultimate Guide,1
Fine-tuning FLUX.1 on images of me,How I Fine-Tuned FLUX.1 for My Images,Boost Your Images with FLUX.1 Fine-Tuning Secrets,0
LLM alignment,LLM Alignment: What You Need to Know,Aligning LLMs with Human Values: A Guide,0
Continual learning (ML),7 Key ML Concepts to Master Continually,Continuous Learning in ML: What You Need to Know,1
KMeans,How KMeans Can Transform Your Data Analysis,Unsupervised Learning Made Easy with KMeans,1
"Naive Bayes, Naive Bayes filter",Understanding Naive Bayes: The Simplest Yet Most Effective Classifier,Naive Bayes vs Spam Emails: Why It’s Still Relevant,0
Logistic regression,5 Key Points in Logistic Regression Explained,How Logistic Regression Works in 10 Minutes,1
Fine-tuning BERT for text classification,How I Fine-Tuned BERT for Text Classification in 2 Hours,From Raw Data to Classification Model: Fine-Tuning BERT Efficiently,0
multimodal RAG,Unlock Multimodal RAG: The Future of AI!,Master Multimodal RAG in Just 10 Minutes,1
Time series forecasting techniques,Master Time Series Forecasting in 30 Minutes,Time Series Forecasting Made Easy: 4 Key Techniques,0
causal inference,Understand Causal Inference in 5 Minutes,Causal Inference: From Basics to Advanced,1
Customer segmentation with text embeddings,Text Embeddings for Smarter Customer Segmentation,Advanced Customer Segmentation Using Text Embeddings,1
Key lessons from interviews with top upwork data science freelancers,How Top Upwork Data Scientists Boost Their Income,Insider Secrets: Upwork Data Science Success Stories,0
Generative adversarial networks (GANs),5 Key Concepts in GANs Explained,Build Your Own GANs in 15 Minutes,0
AI for business,How AI Can Boost Your Business Efficiency,Transform Your Business with AI: Step-by-Step Guide,1
Expectation maximization,5 Key Steps in Expectation Maximization Explained,Solving Complex Problems with Expectation Maximization,1
How to measure fat tailed distributions,Understanding Fat Tailed Distributions Like a Pro,The Ultimate Guide to Measuring Fat Tails,0
LLM alignment,7 Key Steps for LLM Alignment Success,How LLMs Can Align with Your Values,1
the Mapper algorithm,How the Mapper Algorithm Simplifies Complex Data,Master the Mapper Algorithm in Just 5 Minutes,0
LLMs,The Future is Now: What LLMs Can Do Today,LLMs vs. Humans: Who Will Win in 2025?,1
5 AI project ideas,5 AI Projects That Will Blow Your Mind!,5 AI Projects That Make You Look Smart,1
topological data analysis,Top 5 Applications of Topological Data Analysis,Simplifying Complex Data with Topological Analysis,0
Data science project management,How I Organize Data Science Projects for Maximum Efficiency,From Chaos to Control: Master Data Science Project Management,0
Fine-tuning FLUX.1 on images of me,5 Steps to Fine-Tuning FLUX.1 Like a Pro,Boost Your Images with FLUX.1 Fine-Tuning Secrets,0
Habituation in causal inference,How Habituation Impacts Causal Analysis,Mastering Habituation for Better Causal Inference,0
Why I quit my 6F data science job,6 Months and $100K Later: My AI Journey Post-Job,Why I Left My Data Science Job & What I Found Next,1
LLM post-training,4 Key Steps in LLM Post-Training Success,How LLMs Evolve Post-Training: Insights Revealed,1
"ROC, AUC. Generalizing to decision trees and other classifiers","Mastering ROC, AUC: From Basics to Decision Trees","ROC, AUC Simplified: Decision Trees and Beyond",0
5 biases every data scientist should know (and how to avoid them),Avoid These 5 Deadly Biases in Data Science (Video),5 Sneaky Biases Every Data Scientist Must Watch Out For,0
5 AI project discovery questions,Uncover These 5 AI Projects for Your Resume,5 Must-Try AI Projects for Beginners,0
7 ways to make money as a data entrepreneur.,How I Made $50K+ as a Data Biz Owner,Turn Data Skills into Cash: 7 Pro Tips,0
AI for business,AI in Business: 5 Key Strategies for Success,AI in Business: 3 Common Mistakes to Avoid,0
Genetic algorithm,Genetic Algorithms: The Ultimate Optimization Tool,Master Genetic Algorithms with These 3 Simple Steps,0
Fine-tuning BERT for text classification,5 Steps to Fine-Tuning BERT Like a Pro,How I Fine-Tuned BERT for Text Classification in 2 Hours,0
text embedding models,Introduction to Text Embedding Models: The Basics,Text Embedding Models Explained in 5 Minutes,1
model quantization,5 Ways Model Quantization Can Boost AI Performance,How to Quantize Models for Faster Inference (Explained),1
Mechanistic interpretability,5 Key Techniques for Mechanistic Interpretability,How Mechanistic Interpretability Can Unveil Model Secrets,1
How to detect fat tailed distributions,Understanding Fat Tailed Distributions Like a Pro,How to Identify Fat Tailed Distributions in 5 Minutes,1
model pruning,The Surprising Benefits of Model Pruning for Beginners,Model Pruning 101: A Step-by-Step Guide,1
Silhouette plots,5 Key Insights from Silhouette Plots Revealed,Master Silhouette Plots for Clustering Analysis,1
How I become a data scientist (my journey to data science from Physics),My Journey from Physics to Data Science,How I Switched to Data Science (My Story),1
Continual learning (ML),7 Key ML Concepts to Master Continually,Top 5 Resources for Ongoing ML Education,1
Power law scaling on Youtube,5 Secrets to Scaling Your YouTube Channel Fast,How I Grew My Channel 10x Using Power Laws,1
5 AI project ideas,From Idea to Reality: 5 AI Projects,AI Projects for Beginners: 5 Ideas,1
Mechanistic interpretability,Dive into Mechanistic Interpretability: What You Need to Know,Master Mechanistic Interpretability: The Essential Guide,1
data pipelines for ML projects,Build Efficient ML Data Pipelines in 3 Easy Steps,ML Data Pipelines 101: From Start to Finish,0
What is entropy?,Entropy Explained in 5 Minutes,Entropy Decoded: A Beginner's Guide,0
Gaussian process regression,Introduction to Gaussian Process Regression,Gaussian Processes: A Beginner's Guide,0
"My $15,000 content creation strategy","My Proven $15,000 Content Creation Blueprint",From Zero to $15K: My Content Strategy Revealed,1
Gaussian mixture model,Introduction to Gaussian Mixture Models,Gaussian Mixture Models: Your New Best Friend,0
Mechanistic interpretability,5 Key Techniques for Mechanistic Interpretability,Unlocking Model Transparency with Mechanistic Interpretability,0
Fine-tuning multimodal embedding models,Mastering Multimodal Embeddings: Tips and Tricks,Boost Your Multimodal Models with These Techniques,1
FFT,How FFT Revolutionizes Data Processing,Unlock FFT: The Fastest Signal Processing Technique,0
Fine-tuning FLUX.1 on images of me,My FLUX.1 Fine-Tuning Journey in 15 Minutes,FLUX.1 Fine-Tuning Tips: From Zero to Hero,0
7 ways to make money as a data entrepreneur.,7 Data Entrepreneur Money Hacks!,Data Entrepreneur Income Boosters Revealed,1
Gaussian process regression,Master Gaussian Processes in Minutes,Introduction to Gaussian Process Regression,1
direct policy optimization (DPO),How DPO Revolutionizes Reinforcement Learning,Unlocking Better Outcomes Through DPO,0
Fine-tuning multimodal embedding models,How to Improve Multimodal Models in Just 30 Minutes,The Ultimate Guide to Fine-Tuning Multimodal Models,1
causal effects with regression,How Regression Reveals Causal Effects,Unveiling Causal Effects with Regression Techniques,0
Evaluating binary classification models,5 Key Metrics for Binary Classification Models,Mastering Binary Classification Model Evaluation,0
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",Wasserstein & Jensen-Shannon: Mastering Distribution Comparisons,How to Choose the Right Distance Metric for Distributions,1
Hyperparameter optimization,5 Key Hyperparameter Optimization Techniques Explained,The Ultimate Guide to Hyperparameter Optimization for ML Models,1
Building an AI app in 4 days,How I Built an AI App in Just 4 Days,AI App in 4 Days: My Fast Track to Success,0
Logistic regression,Logistic Regression: The Basics You Need to Know,Real-World Examples of Logistic Regression Success,0
LLMs,7 Surprising LLM Applications You Need to Know,How LLMs Will Transform Your Career in 2025,1
Hierarchical clustering,5 Steps to Master Hierarchical Clustering,How Hierarchical Clustering Can Transform Your Data,1
AI agents,Unleash AI Agents: The Ultimate Productivity Hack,Meet Your New AI Agents: Transforming Daily Tasks,1
Key lessons from interviews with top upwork data science freelancers,Top Tips from Pro Upwork Data Scientists Revealed,Maximize Your Upwork Data Science Gigs: Expert Advice,1
LLM post-training,How LLMs Evolve Post-Training: Insights Revealed,Post-Training Innovations: The Future of LLMs Unveiled,1
Gaussian mixture model,Mastering Gaussian Mixture Models in 15 Minutes,Gaussian Mixture Models: Your New Best Friend,0
LLM post-training,Post-Training Secrets: Boosting LLM Performance,Maximize LLM Potential with Post-Training Techniques,0
RL with AI feedback,5 RL Tricks AI Will Love,AI-Powered RL: Level Up Your Skills,0
Python essentials for data science,10 Python Skills Every Data Scientist Needs,Python Data Science Essentials: A Quick Guide,0
causal effects with regression,Regression Analysis for Causal Effects,Mastering Causal Effects Through Regression,0
decision tree ensembles,Build Stronger Models with These Decision Tree Techniques,From Beginner to Expert: Decision Tree Ensembles Guide,0
5 AI project ideas,Build These AI Projects in Under an Hour,AI Projects for Beginners: 5 Ideas,0
GitHub for data science,How to Use GitHub Like a Pro in Data Science,Streamline Your Data Science Workflow with GitHub,0
Python tutorial for AI beginners,Python AI Basics: Your Ultimate Guide,Learn AI with Python in 30 Minutes,0
Time series forecasting techniques,Predict the Future with These Time Series Methods,Accurate Time Series Forecasting: A Step-by-Step Guide,0
KMeans,5 Key Steps to Mastering KMeans Clustering,How KMeans Can Transform Your Data Analysis,0
KMeans,KMeans Simplified: A Beginner's Guide,Boost Your Data Skills with KMeans Clustering,0
Variational autoencoders,5 Key Concepts of Variational Autoencoders Simplified,"Encode, Decode, Learn: A Guide to Variational Autoencoders",0
"Probability, likelihood, odds, chance, odds ratio","Mastering Probability: Likelihood, Odds, and Chance Explained","The Essential Guide to Probability, Likelihood, and Odds",1
reinforcement learning with human feedback (RLHF),Real-World RLHF Examples That Will Blow Your Mind,Master RLHF: The Ultimate Guide for 2024,1
Mechanistic interpretability,How Mechanistic Interpretability Can Unveil Model Secrets,Master Mechanistic Interpretability: The Essential Guide,1
fine-tuning LLMs,5 Steps to Fine-Tune LLMs Like a Pro,Fine-Tuning LLMs: From Beginner to Expert,1
How I become a data scientist (my journey to data science from Physics),My Journey from Physics to Data Science,From Physics to Data Science: My Path,0
Fuzzy decision trees,Master Fuzzy Decision Trees in Just 10 Minutes,Build Better Decisions with Fuzzy Logic Trees,0
model distillation,The Power of Knowledge Distillation Explained,Boost Model Performance with Just 10 Lines of Code,1
5 AI automation use cases,How AI Automates These 5 Tasks Effortlessly,Streamline Your Work with These 5 AI Automations,1
How to handle missing data,The Ultimate Guide to Dealing with Missing Data,4 Steps to Fix Missing Data in Your Dataset,0
Gini value vs gini coefficient vs Gini impurity,"Gini Value, Coefficient, & Impurity: What’s the Difference?",Gini Value vs Coefficient vs Impurity: A Quick Guide,0
"ROC, AUC. Generalizing to decision trees and other classifiers","Understanding ROC, AUC: Beyond Linear Classifiers","Mastering ROC, AUC: From Basics to Decision Trees",1
Synthetic data generation with LLMs,How LLMs Are Transforming Synthetic Data Creation,LLMs for Synthetic Data: 4 Key Techniques Explained,1
5 AI project discovery questions,5 Must-Try AI Projects for Beginners,How to Find the Best AI Projects in 5 Questions,0
Full-stack data science skillset,Full-Stack Data Science: Your Ultimate Guide,How to Become a Full-Stack Data Scientist in 2024,1
AI engineer vs ML engineer,AI Engineer vs ML Engineer: Who Wins?,AI vs ML Engineer: Roles & Responsibilities,0
LLM post-training,Maximize LLM Potential with Post-Training Techniques,Post-Training Innovations: The Future of LLMs Unveiled,1
decision trees,Build Your Own Decision Tree in 10 Minutes,Master Decision Trees with These 5 Tips,0
Mechanistic interpretability,5 Key Techniques for Mechanistic Interpretability,Master Mechanistic Interpretability: The Essential Guide,1
Expectation values,How Expectation Values Shape Our Decisions,The Surprising Power of Expectation Values Explained,0
Fine-tuning text embedding models,Fine-Tuning Text Embeddings: The Ultimate Guide,Mastering Text Embeddings: A Step-by-Step Guide,0
fine-tuning LLMs,5 Steps to Fine-Tune LLMs Like a Pro,How I Fine-Tuned an LLM for Real-World Applications,1
Gaussian mixture model,Introduction to Gaussian Mixture Models,How Gaussian Mixture Models Work Explained,0
5 AI automation use cases,AI Takes Over: 5 Automation Success Stories,Streamline Your Work with These 5 AI Automations,1
5 physics principles that made me a better data scientist,How Physics Made Me a Better Data Scientist,5 Surprising Physics Concepts That Improved My Data Science,0
FFT,5 Key Points of FFT Explained Simply,How FFT Revolutionizes Data Processing,1
Key lessons from interviews with top upwork data science freelancers,7 Secrets Top Upwork Data Scientists Swear By,How Top Upwork Data Scientists Boost Their Income,1
Fine-tuning LLMs for tool use,How I Fine-Tuned LLMs for Ultimate Tool Integration,Mastering LLM Fine-Tuning for Real-World Tools,0
Transformers (ML),5 Key Transformers Concepts You Need to Know,Build Your Own Transformer Model (Step-by-Step),1
Time series forecasting techniques,5 Essential Time Series Forecasting Techniques,Master Time Series Forecasting in 30 Minutes,0
Power law scaling on Youtube,5 Secrets to Scaling Your YouTube Channel Fast,From Zero to Hero: Scaling YouTube with Power Laws,0
Fourier transform,How Fourier Transform Simplifies Signal Processing,Master Fourier Transform in Just 5 Minutes,1
2 plots for exploratory data analysis,Master 2 Plots for Better EDA,Visualize Data Magic with These 2 Plots,0
Time series forecasting techniques,Master Time Series Forecasting in 30 Minutes,Predict the Future with These Time Series Methods,1
5 AI project discovery questions,5 AI Projects to Boost Your Portfolio,5 Must-Try AI Projects for Beginners,0
How to think like a data scientist,How to Develop a Data Scientist Mindset,Unlock Data Science Thinking: A Beginner's Guide,0
causal inference,Understand Causal Inference in 5 Minutes,Why Causal Inference Matters in Data Science,1
Fine-tuning FLUX.1 on images of me,5 Steps to Fine-Tuning FLUX.1 Like a Pro,How I Fine-Tuned FLUX.1 for My Images,0
2 plots for exploratory data analysis,Master 2 Plots for Better EDA,Uncover Insights with These 2 EDA Plots,0
Fine-tuning LLMs to think (advanced reasoning),How to Make LLMs Think Better: Tips Revealed,Advanced LLM Fine-Tuning: Techniques Unveiled,1
5 AI automation use cases,5 AI Automation Hacks to Boost Productivity,How AI Automates These 5 Tasks Effortlessly,1
"Distribution differences: KS-test (D statistic), KL divergence, Wasserstein. Jensen-Shannon divergence",5 Ways to Measure Distribution Differences in 2024,"Distribution Differences Explained: KS-test, KL, & More",1
Building a resume optimizer with AI,Step-by-Step: Build Your Own Resume Optimizer with AI,AI Resume Optimizer: The Full Code Tutorial,1
Silhouette plots,How Silhouette Plots Can Boost Your Data Analysis,Unleash the Power of Silhouette Plots in 5 Steps,0
How I become a data scientist (my journey to data science from Physics),From Physics to Data Science: My Path,My 5-Year Leap from Physics to Data Science,0
Python essentials for data science,Master Python for Data Science in 30 Minutes,From Beginner to Pro: Python for Data Science Basics,0
Generative adversarial networks (GANs),How GANs Work: The Ultimate Guide,The Power of GANs: Real-World Applications Explained,0
Fourier transform,5 Key Points of Fourier Transform Explained,How Fourier Transform Simplifies Signal Processing,1
How to detect fat tailed distributions,Detecting Fat Tailed Distributions: A Step-by-Step Guide,Fat Tailed Distributions: What They Are and How to Find Them,0
Fine-tuning LLMs for tool use,5 Steps to Fine-Tune LLMs Like a Pro,Boost Your LLMs with These Fine-Tuning Techniques,1
LLMs,7 Surprising LLM Applications You Need to Know,LLMs vs. Humans: Who Will Win in 2025?,1
Why I quit my 6F data science job,Why I Left My Data Science Job & What I Found Next,Quitting Data Science for Something Better: My Story,0
model quantization,5 Ways Model Quantization Can Boost AI Performance,Boost Your AI Model Efficiency with Quantization Techniques,1
fat tailed distribtions,Understanding Fat-Tailed Distributions in 5 Minutes,Beyond Normal: Exploring Fat-Tailed Distributions,0
direct policy optimization (DPO),How DPO Revolutionizes Reinforcement Learning,DPO Simplified: The Ultimate Guide,1
SHAP values,5 Key SHAP Values You Need to Know,How SHAP Values Can Improve Your ML Models,1
GitHub for data science,GitHub for Data Science: Supercharge Your Projects!,Git for Data Science: Tips & Tricks You Need to Know,0
